1984	1	1	5.55	7.56	5.25	0.22
1984	1	2	4.23	7.71	9.17	2.45
1984	1	3	2.15	8.33	6.1899999999999995	3.15
1984	1	4	0.54	5.44	4.86	1.77
1984	1	5	-0.7	3.16	3.67	1.72
1984	1	6	0.9	6.18	0.58	1.4
1984	1	7	2.1	6.08	7.880000000000001	2.69
1984	1	8	2.02	3.23	2.4	1.84
1984	1	9	-1.54	4.65	0.3	2.7
1984	1	10	-2.06	3.37	0.66	2.43
1984	1	11	2.69	5.4	4.35	0.48
1984	1	12	0.68	4.85	1.36	1.66
1984	1	13	0.33	10.6	8.13	1.13
1984	1	14	1.28	10.94	10.3	0.94
1984	1	15	0.82	3.28	1.33	1.23
1984	1	16	1.19	8.44	12.650000000000002	2.06
1984	1	17	2.05	8.5	0.99	2.51
1984	1	18	-1.05	4.15	1.31	2.7
1984	1	19	-1.02	3.54	0.9199999999999999	2.19
1984	1	20	-2.97	3.8	0.10999999999999999	4.83
1984	1	21	-3.56	0.81	0.01	4.57
1984	1	22	-4.26	-0.53	4.94	1.89
1984	1	23	-3.42	1.11	9.44	1.95
1984	1	24	-0.3	0.96	2.8100000000000005	1.76
1984	1	25	-3.22	1.62	0.22999999999999998	5.45
1984	1	26	-4.29	0.77	2.38	2.15
1984	1	27	-0.98	3.73	0.25	5.32
1984	1	28	0.78	4.37	2.6	1.4
1984	1	29	-0.12	3.76	3.59	2.7
1984	1	30	1.76	4.93	1.6	4.29
1984	1	31	-1.61	6.48	2.84	5.41
1984	2	1	-1.71	5.27	2.92	3.81
1984	2	2	3.47	6.78	3.06	2.16
1984	2	3	3.22	6.61	8.08	1.36
1984	2	4	1.82	8.59	1.44	2.89
1984	2	5	1.48	9.05	4.48	4.93
1984	2	6	2.88	8.27	24.310000000000002	3.18
1984	2	7	2.4	6.5	4.65	4.71
1984	2	8	0.81	4.51	9.98	3.59
1984	2	9	-0.22	6.0	0.75	7.5
1984	2	10	-1.2	6.3	0.39	5.23
1984	2	11	2.31	7.57	0.64	4.03
1984	2	12	-3.47	4.93	0.01	8.04
1984	2	13	-3.74	4.87	0.0	7.92
1984	2	14	-3.48	4.0	0.01	8.49
1984	2	15	-3.59	2.69	0.03	5.7
1984	2	16	-3.85	2.96	0.01	7.17
1984	2	17	-3.35	3.64	0.0	6.7
1984	2	18	-4.85	3.4	0.0	8.8
1984	2	19	-7.64	3.0	0.0	9.31
1984	2	20	-5.94	3.58	0.02	9.41
1984	2	21	0.08	4.73	4.29	5.15
1984	2	22	-0.99	6.01	0.61	3.54
1984	2	23	-1.24	5.33	0.10999999999999999	6.87
1984	2	24	-1.8	2.23	0.25	6.49
1984	2	25	-2.31	2.03	0.35	3.18
1984	2	26	-1.07	4.31	0.66	2.84
1984	2	27	-0.45	3.55	1.07	3.05
1984	2	28	-1.11	4.89	0.27	5.45
1984	2	29	-2.19	6.23	0.0	9.41
1984	3	1	-3.02	5.75	0.3	5.12
1984	3	2	0.8	4.96	8.19	4.33
1984	3	3	-0.52	4.15	3.29	6.1
1984	3	4	-1.76	6.18	0.10999999999999999	10.61
1984	3	5	-0.63	8.9	0.2	4.7
1984	3	6	3.44	8.8	0.29	4.77
1984	3	7	0.05	8.66	0.41999999999999993	7.68
1984	3	8	-1.24	7.04	0.05	11.96
1984	3	9	-2.94	4.08	0.05	11.37
1984	3	10	-1.73	1.75	5.18	4.22
1984	3	11	1.09	5.91	1.23	4.4
1984	3	12	-1.13	8.39	0.07	12.42
1984	3	13	-2.34	6.44	0.06	7.44
1984	3	14	-2.69	9.26	0.0	13.77
1984	3	15	-1.64	9.98	0.03	14.08
1984	3	16	-0.94	9.01	0.02	11.33
1984	3	17	-1.42	8.92	0.07	13.26
1984	3	18	-2.28	8.88	0.01	13.37
1984	3	19	-2.12	9.65	0.0	14.25
1984	3	20	-3.88	8.79	0.0	15.44
1984	3	21	-3.09	11.03	0.0	15.56
1984	3	22	-2.41	11.7	0.0	14.84
1984	3	23	-0.58	12.0	0.01	12.79
1984	3	24	1.73	8.55	2.75	4.24
1984	3	25	2.5	10.65	2.6500000000000004	10.77
1984	3	26	4.37	9.68	2.87	4.69
1984	3	27	2.98	10.26	9.88	9.78
1984	3	28	4.55	11.46	5.140000000000001	9.24
1984	3	29	0.39	8.19	3.93	7.33
1984	3	30	0.22	8.51	0.34	12.48
1984	3	31	1.16	8.24	0.97	11.25
1984	4	1	0.05	4.33	0.63	11.97
1984	4	2	-1.35	6.33	0.20999999999999996	12.72
1984	4	3	-0.88	5.56	0.8499999999999999	9.31
1984	4	4	-1.56	7.04	1.2	7.62
1984	4	5	0.87	4.87	6.61	5.05
1984	4	6	0.69	6.86	3.09	8.01
1984	4	7	0.99	8.83	0.69	9.74
1984	4	8	0.94	9.48	0.55	8.11
1984	4	9	1.47	8.51	1.9100000000000001	8.06
1984	4	10	2.15	8.3	3.3599999999999994	9.74
1984	4	11	1.16	11.99	2.58	15.27
1984	4	12	1.56	10.68	1.37	15.27
1984	4	13	1.22	13.27	0.0	16.5
1984	4	14	3.03	16.63	0.0	18.9
1984	4	15	5.43	18.3	1.03	12.83
1984	4	16	1.4	9.47	1.7799999999999998	14.5
1984	4	17	1.63	11.42	0.06	17.79
1984	4	18	1.05	14.05	0.0	18.96
1984	4	19	1.42	15.12	0.0	17.5
1984	4	20	5.48	17.15	0.0	16.92
1984	4	21	6.16	20.27	0.0	20.17
1984	4	22	8.47	20.73	0.0	15.14
1984	4	23	5.4	16.98	0.0	20.43
1984	4	24	6.06	19.38	0.01	21.12
